year,ISSUE_DATE,PERMIT_SUBTYPE_NAME,DESC_OF_WORK,FULL_ADDRESS,street,zip,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
2009,"2009/02/09 05:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PHOTOVOLTAIC SYSTEM TO CONSIST OF: -15 SUNPOWER 225 WATT MODULES. -1 SUNPOWER SPR 600M INVERTER.","732 9TH ST SE, WASHINGTON, DC","732 9TH ST SE",NA,38.880315,-76.993535,1,rooftop,"732 9th St SE",,"Washington, DC 20003",732,"9th St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
2009,"2009/09/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1712 IRVING ST NW, WASHINGTON, DC 20010","1712 IRVING ST NW",20010,38.92861,-77.03968,1,rooftop,"1712 Irving St NW",,"Washington, DC 20010",1712,"Irving St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/09/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM(SOLAR PANELS) ON THE ROOF.","4573 INDIAN ROCK TER NW, WASHINGTON, DC 20007","4573 INDIAN ROCK TER NW",20007,38.911143,-77.087746,1,rooftop,"4573 Indian Rock Ter NW",,"Washington, DC 20007",4573,"Indian Rock Ter NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
2009,"2009/04/29 04:00:00+00","ALTERATION AND REPAIR","INSTALL: 12 SPR 225 SOLAR MODULES, 1 SMA 3000 INVERTER AND MONITOR.","5827 POTOMAC AVE NW, WASHINGTON, DC 20016","5827 POTOMAC AVE NW",20016,38.934592,-77.113278,1,rooftop,"5827 Potomac Ave NW",,"Washington, DC 20016",5827,"Potomac Ave NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/04/29 04:00:00+00","ALTERATION AND REPAIR","INSTALL: 12 SPR 225 SOLAR PANELS, 1 SPR 3000 INVERTER, AND INVERTER MONITOR.","5115 CATHEDRAL AVE NW, WASHINGTON, DC 20016","5115 CATHEDRAL AVE NW",20016,38.93057,-77.103815,1,rooftop,"5115 Cathedral Ave NW",,"Washington, DC 20016",5115,"Cathedral Ave NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/09/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM (SOLAR PANELS) ON THE  ROOF.","1818 INGLESIDE TER NW, WASHINGTON, DC 20010","1818 INGLESIDE TER NW",20010,38.934781,-77.04205,1,rooftop,"1818 Ingleside Ter NW",,"Washington, DC 20010",1818,"Ingleside Ter NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/09/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM (SOLAR PANELS) ON THE  ROOF.","3207 19TH ST NW, WASHINGTON, DC 20010","3207 19TH ST NW",20010,38.931781,-77.043941,1,rooftop,"3207 19th St NW",,"Washington, DC 20010",3207,"19th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/09/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1751 KILBOURNE PL NW, WASHINGTON, DC 20010","1751 KILBOURNE PL NW",20010,38.930802,-77.04069,1,rooftop,"1751 Kilbourne Pl NW",,"Washington, DC 20010",1751,"Kilbourne Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/09/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1804 IRVING ST NW, WASHINGTON, DC 20010","1804 IRVING ST NW",20010,38.928611,-77.041288,1,rooftop,"1804 Irving St NW",,"Washington, DC 20010",1804,"Irving St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/10/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL 76 PV PANELS ON ROOF  TO PROVIDE 14.43KW  SOLAR ENERGY.","3001 WISCONSIN AVE NW, WASHINGTON, DC 20016","3001 WISCONSIN AVE NW",20016,38.929172,-77.072744,1,rooftop,"3001 Wisconsin Ave NW",,"Washington, DC 20016",3001,"Wisconsin Ave NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/10/01 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF.","6810 LAUREL ST NW, WASHINGTON, DC 20012","6810 LAUREL ST NW",20012,38.972032,-77.0148,1,rooftop,"6810 Laurel St NW",,"Washington, DC 20012",6810,"Laurel St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF OF AN EXISTING SFD.","1716 NEWTON ST NW, WASHINGTON, DC 20010","1716 NEWTON ST NW",20010,38.934033,-77.040431,1,rooftop,"1716 Newton St NW",,"Washington, DC 20010",1716,"Newton St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON AN EXISTING SFD'S ROOF.","1421 LOCUST RD NW, WASHINGTON, DC 20012","1421 LOCUST RD NW",20012,38.986207,-77.034164,1,rooftop,"1421 Locust Rd NW",,"Washington, DC 20012",1421,"Locust Rd NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS O ROOF","3202 18TH ST NW, WASHINGTON, DC 20010","3202 18TH ST NW",20010,38.931718,-77.04154,1,rooftop,"3202 18th St NW",,"Washington, DC 20010",3202,"18th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","3340 17TH ST NW, WASHINGTON, DC 20010","3340 17TH ST NW",20010,38.933825,-77.039038,1,rooftop,"3340 17th St NW",,"Washington, DC 20010",3340,"17th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","3336 17TH ST NW, WASHINGTON, DC 20010","3336 17TH ST NW",20010,38.933714,-77.039031,1,rooftop,"3336 17th St NW",,"Washington, DC 20010",3336,"17th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/09/22 04:00:00+00","ALTERATION AND REPAIR","INSTALL  PHOTOVOLTAIC SYSTEM ON ROOF.","3326 17TH ST NW, WASHINGTON, DC 20010","3326 17TH ST NW",20010,38.933439,-77.039033,1,rooftop,"3326 17th St NW",,"Washington, DC 20010",3326,"17th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/10/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. SHALL NOT BE VISIBLE FROM LAMONT ST NW.","1704 LAMONT ST NW, WASHINGTON, DC 20010","1704 LAMONT ST NW",20010,38.931281,-77.039223,1,rooftop,"1704 Lamont St NW",,"Washington, DC 20010",1704,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/11/19 05:00:00+00","ALTERATION AND REPAIR","THIS PROJECT ENTAILS THE INSTALLATION OF A 45,760 WATTS 9W) STC RATED SOLAR PHOTOVOLTAIC SYSTEM AT THE UNICOR, FEDERAL PRISONS INDUSTIRIES HEADQUARTERS IN D.C. THE SYSTEM WILL NOT BE A NET ELECTRICITY EXPORTER TO THE UTILITY GRID. THIS INSTALLATION CONSISTS OF FIXED TILT RACKING STRUCTURE WITH MOUNTED PHOTOVOLTIC MODULES. THE SYSTEM WILL BE SECURED WITH BALLASTS TO PREVENT THEM  FROM SHIFTING IN THE WIND. THE SYSTEM WILL BE  INTERCONNECTED TO AND WILL BE OPERATED IN PARALLEL WITH THE POTOMAC ELECTRIC POWER COMPANY (PEPCO0 ELECTRIC GRID PER THE REQUIREMENTS OF THE NATIONAL ELECTRIC CODE.","400 1ST ST NW, WASHINGTON, DC 20001","400 1ST ST NW",20001,38.895025,-77.012596,1,rooftop,"400 1st St NW",,"Washington, DC 20534",400,"1st St NW",,,Washington,DC,"District of Columbia",20534,US,"Statewide (City of Washington)"
2009,"2009/11/17 05:00:00+00","ALTERATION AND REPAIR","INSTALL (12) SOLAR PANELS ON ROOF NOT VISIBLE FROM STREET.","3221 WALBRIDGE PL NW, WASHINGTON, DC 20010","3221 WALBRIDGE PL NW",20010,38.932188,-77.045176,1,rooftop,"3221 Walbridge Pl NW",,"Washington, DC 20010",3221,"Walbridge Pl NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/12/02 05:00:00+00","ALTERATION AND REPAIR","INSTALL (18) SOLAR PANELS ON ROOF.","3205 ADAMS MILL RD NW, WASHINGTON, DC 20010","3205 ADAMS MILL RD NW",20010,38.931778,-77.045683,1,rooftop,"3205 Adams Mill Rd NW",,"Washington, DC 20010",3205,"Adams Mill Rd NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/11/20 05:00:00+00","ALTERATION AND REPAIR","Install 24 Suntech 210 watt Solar Panels on the Becker's roof.","4829 BENDING LN NW, WASHINGTON, DC 20007","4829 BENDING LN NW",20007,38.91619,-77.097869,1,rooftop,"4829 Bending Ln NW",,"Washington, DC 20007",4829,"Bending Ln NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
2009,"2009/11/20 05:00:00+00","ALTERATION AND REPAIR","Installing 22 Suntech 175 watt Solar Panels on the Chang's roof.","938 4TH ST NE, WASHINGTON, DC 20002","938 4TH ST NE",20002,38.902099,-77.000772,1,rooftop,"938 4th St NE",,"Washington, DC 20002",938,"4th St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
2009,"2009/12/04 05:00:00+00","ALTERATION AND REPAIR","INSTALL (18) SOLAR PANELS ON ROOF.","1914 13TH ST NW, WASHINGTON, DC 20009","1914 13TH ST NW",20009,38.916192,-77.029891,1,rooftop,"1914 13th St NW",,"Washington, DC 20009",1914,"13th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
2009,"2009/11/18 05:00:00+00","ALTERATION AND REPAIR","Install 10 solar panels flush on roof of the existing SFD .","5204 SHERIER PL NW, WASHINGTON, DC 20016","5204 SHERIER PL NW",20016,38.925841,-77.104213,1,rooftop,"5204 Sherier Pl NW",,"Washington, DC 20016",5204,"Sherier Pl NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/11/18 05:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. SETBACK 25 FT FROM FRONT ROOF RIDGE OF THE EXISTING  SFD.","3112 19TH ST NW, WASHINGTON, DC 20010","3112 19TH ST NW",20010,38.930374,-77.043555,1,rooftop,"3112 19th St NW",,"Washington, DC 20010",3112,"19th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/10/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. SHALL NOT BE VISIBLE FROM LAMONT ST NW.","1847 LAMONT ST NW, WASHINGTON, DC 20010","1847 LAMONT ST NW",20010,38.931691,-77.043193,1,rooftop,"1847 Lamont St NW",,"Washington, DC 20010",1847,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/11/17 05:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. SHALL NOT BE VISIBLE FROM 19TH STREET NW.","3213 19TH ST NW, WASHINGTON, DC 20010","3213 19TH ST NW",20010,38.931945,-77.043939,1,rooftop,"3213 19th St NW",,"Washington, DC 20010",3213,"19th St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/11/05 05:00:00+00","ALTERATION AND REPAIR","INSTALL 15 SANYO 195BA3 PHOTOVOLTAIC PANELS ON THE ROOF, NOMINAL 2.925 KW PV POWER SYSTEM.  Panels not to be visible.","513 6TH ST NE, WASHINGTON, DC 20002","513 6TH ST NE",20002,38.896805,-76.998208,1,rooftop,"513 6th St NE",,"Washington, DC 20002",513,"6th St NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
2009,"2009/11/05 05:00:00+00","ALTERATION AND REPAIR","INSTALL 15 SANYO 195BA3 PHOTOVOLTAIC PANELS ON THE ROOF, NOMINAL 2.925 KW PV POWER SYSTEM.  Panels not to be visible","1507 CORCORAN ST NW, WASHINGTON, DC 20009","1507 CORCORAN ST NW",20009,38.91206,-77.035025,1,rooftop,"1507 Corcoran St NW",,"Washington, DC 20009",1507,"Corcoran St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
2009,"2009/06/19 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. NOT TO BE VISIBLE FROM THE STREET.","6815 6TH ST NW, WASHINGTON, DC 20012","6815 6TH ST NW",20012,38.973126,-77.021149,1,rooftop,"6815 6th St NW",,"Washington, DC 20012",6815,"6th St NW",,,Washington,DC,"District of Columbia",20012,US,"Statewide (City of Washington)"
2009,"2009/06/19 04:00:00+00","ALTERATION AND REPAIR","INSTALL 4.05 KW ROOF TOP SOLAR PV SYSTEM COSISTING OF 18 SPR 225 SOLAR MODULES, 1 SPR 4000 INVERTER AND MONITOR.","3301 GARFIELD ST NW, WASHINGTON, DC 20008","3301 GARFIELD ST NW",20008,38.927768,-77.06548,1,rooftop,"3301 Garfield St NW",,"Washington, DC 20008",3301,"Garfield St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
2009,"2009/06/03 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF.","1331 INDEPENDENCE CT SE, WASHINGTON, DC 20003","1331 INDEPENDENCE CT SE",20003,38.886944,-76.986892,1,rooftop,"1331 Independence Ct SE",,"Washington, DC 20003",1331,"Independence Ct SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
2009,"2009/06/03 04:00:00+00","ALTERATION AND REPAIR","INSTALL 4.05 KW SOLAR SYSTEM ON ROOF CONSITING OF: 
18 SPR 225 BLK SOLAR MODULES, 1 SPR 4000 INVERTER & INVERTER MONITOR","3640 BRANDYWINE ST NW, WASHINGTON, DC 20008","3640 BRANDYWINE ST NW",20008,38.9495,-77.071627,1,rooftop,"3640 Brandywine St NW",,"Washington, DC 20008",3640,"Brandywine St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
2009,"2009/06/22 04:00:00+00","ALTERATION AND REPAIR","INDSTALL SOLAR PV SYSTEM ON ROOF AND CONNECT TO HOUSE","1366 SPRING RD NW, WASHINGTON, DC 20010","1366 SPRING RD NW",20010,38.936663,-77.032018,1,rooftop,"1366 Spring Rd NW",,"Washington, DC 20010",1366,"Spring Rd NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
2009,"2009/12/16 05:00:00+00","ALTERATION AND REPAIR","INSTALL (14) SOLAR PANELS ON ROOF OF THE EXISTING SFD.","1710 JOHNSON AVE NW, WASHINGTON, DC 20009","1710 JOHNSON AVE NW",20009,38.913013,-77.033411,1,rooftop,"1710 Johnson Ave NW",,"Washington, DC 20009",1710,"Johnson Ave NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
2009,"2009/07/17 04:00:00+00","ALTERATION AND REPAIR","INSTALL 2.25 KW ROOFTOP SOLAR SYSTEM CONSISTING OF 10 SPR 225  MODULES, 1SPR 4000 INVERTER AND MONITOR.","3908 BENTON ST NW, WASHINGTON, DC 20007","3908 BENTON ST NW",20007,38.920506,-77.077545,1,rooftop,"3908 Benton St NW",,"Washington, DC 20007",3908,"Benton St NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
2009,"2009/07/17 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PHOTOVOLTAIC SYSTEM TO CONSIST OF  12 SUNPOWE 225 MODULES. 1 SUNPOWER SPR SPR 3000M, 1 SUNPOWER SOLOR INVERTER MONITOR.","3800 FORDHAM RD NW, WASHINGTON, DC 20016","3800 FORDHAM RD NW",20016,38.939351,-77.099568,1,rooftop,"3800 Fordham Rd NW",,"Washington, DC 20016",3800,"Fordham Rd NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
2009,"2009/07/13 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PHOTVOLTAIC SYSTEM TO CONSIST OF 12- SUNTECH 175 WATT MODULES.1- SUNNY BOY 5000 US INVERTER. 1-SMA MONITORING SYSTEM","329 MARYLAND AVE NE, WASHINGTON, DC 20002","329 MARYLAND AVE NE",20002,38.892661,-77.001024,1,rooftop,"329 Maryland Ave NE",,"Washington, DC 20002",329,"Maryland Ave NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
